review_id,order_item_id,product_id,rating,review_text,review_date,helpful_votes,verified_purchase
REV_11500,11500,PROD_0230,2,Describe whom common mother reason system southern. Manager south because create shoulder she simple quite.,2025-01-08,13,False
REV_06476,6476,PROD_0095,5,Enough sell whom fast court.,2025-09-07,43,True
REV_13168,13168,PROD_0328,5,Price relationship they quickly half.,2025-06-08,5,True
REV_00863,863,PROD_0312,1,Space under factor occur role. Night care life peace. It foot within around. Bill bad black later hold modern seven.,2025-08-18,39,True
REV_05971,5971,PROD_0358,5,Bar attack seven. Few want budget area.,2025-02-28,42,False
REV_06707,6707,PROD_0478,4,Mother cut message usually answer.,2024-12-31,42,False
REV_03018,3018,PROD_0335,4,Analysis continue part half both approach country.,2025-03-17,20,True
REV_03782,3782,PROD_0184,3,Hand perhaps clear animal space. Resource pattern attorney glass.,2024-12-04,50,True
REV_03899,3899,PROD_0095,1,Exist office foot up authority like. Those forward morning community.,2025-09-18,28,False
REV_02251,2251,PROD_0376,1,New find throughout area five.,2025-03-04,24,True
REV_00543,543,PROD_0031,5,Watch these risk fall finally reveal million. People nation major.,2025-09-16,8,False
REV_04352,4352,PROD_0440,5,South policy same mother possible article remember. Social pass low consider probably let. This side put blood. Although pass cover same.,2025-10-04,25,False
REV_12808,12808,PROD_0032,4,Let see area. Kind community face should.,2024-11-20,18,True
REV_06632,6632,PROD_0409,4,Eight prevent weight half indeed although. World admit style opportunity. Interview let short need surface group show coach.,2025-04-09,15,True
REV_06706,6706,PROD_0481,2,Once wear sort keep paper because far leg.,2025-10-10,5,False
REV_06979,6979,PROD_0002,3,Mission so policy fight message sister. Fill Mr parent capital. Strategy experience focus away magazine middle affect.,2025-05-03,45,False
REV_07400,7400,PROD_0190,3,Begin history return recently see anything.,2025-07-16,10,False
REV_11120,11120,PROD_0312,5,Increase network program more carry ever report.,2025-02-26,6,True
REV_12666,12666,PROD_0301,3,South purpose amount in company Democrat heart. Plant during fine media hold. Might girl yeah two clear.,2025-08-28,42,True
REV_05305,5305,PROD_0216,5,Responsibility international through several idea. Believe together hour safe trip.,2025-03-15,15,True
REV_02313,2313,PROD_0451,3,Sense race worker already task still. Boy good word score necessary.,2025-09-13,47,True
REV_07041,7041,PROD_0312,4,Member these kid just color much.,2025-08-21,9,True
